Bin,p
CRR283032,p__Actinomycetota
CRR283032,p__Actinomycetota
CRR283032,p__Actinomycetota
CRR283032,p__Actinomycetota
CRR283032,p__Acidobacteriota
CRR283032,p__Acidobacteriota
CRR283032,p__Nitrospirota
CRR283032,p__Acidobacteriota
CRR283032,p__Gemmatimonadota
CRR283032,p__Actinomycetota
CRR283032,p__Planctomycetota
CRR283037,p__Acidobacteriota
CRR283037,p__Chloroflexota
CRR283037,p__Nitrospirota
CRR283037,p__Pseudomonadota
CRR283037,p__Actinomycetota
CRR283037,p__Acidobacteriota
CRR283037,p__Chloroflexota
CRR283037,p__Gemmatimonadota
CRR283037,p__Pseudomonadota
CRR283037,p__Acidobacteriota
CRR283038,p__Acidobacteriota
CRR283039,p__Thermoproteota
CRR283040,p__Thermoproteota
CRR283041,p__Acidobacteriota
CRR283042,p__Actinomycetota
CRR283046,p__Gemmatimonadota
CRR283046,p__Pseudomonadota
CRR283046,p__Actinomycetota
CRR283046,p__Pseudomonadota
CRR283046,p__Gemmatimonadota
CRR283051,p__Acidobacteriota
CRR283051,p__Pseudomonadota
CRR283053,p__Thermoproteota
CRR283063,p__Thermoproteota
CRR283067,p__Acidobacteriota
CRR283069,p__Actinomycetota
CRR283070,p__Acidobacteriota
CRR283072,p__Pseudomonadota
CRR283073,p__Acidobacteriota
ERR1017187,p__Pseudomonadota
ERR1017187,p__Myxococcota
ERR1017187,p__Acidobacteriota
ERR1017187,p__Bacteroidota
ERR1019366,p__Verrucomicrobiota
ERR1019366,p__Actinomycetota
ERR1019366,p__Acidobacteriota
ERR1019366,p__Bacteroidota
ERR1019366,p__Pseudomonadota
ERR1019366,p__Bacteroidota
ERR1019366,p__Halobacteriota
ERR1019366,p__Pseudomonadota
ERR1022687,p__Actinomycetota
ERR1022687,p__Bacteroidota
ERR1022687,p__Pseudomonadota
ERR1022687,p__Acidobacteriota
ERR1022687,p__Bacteroidota
ERR1022692,p__Acidobacteriota
ERR1022692,p__Pseudomonadota
ERR1022692,p__Verrucomicrobiota
ERR1022692,p__Pseudomonadota
ERR1034454,p__Verrucomicrobiota
ERR1034454,p__Myxococcota
ERR1034454,p__Bacteroidota
ERR1034454,p__Acidobacteriota
ERR1034454,p__Bacteroidota
ERR1034454,p__Pseudomonadota
ERR1034454,p__Verrucomicrobiota
ERR1035437,p__Halobacteriota
ERR1035437,p__Acidobacteriota
ERR1035437,p__Desulfobacterota_B
ERR1035437,p__Goldbacteria
ERR1035437,p__Halobacteriota
ERR1035437,p__Actinomycetota
ERR1035437,p__Dormibacterota
ERR1035437,p__Dormibacterota
ERR1035438,p__Verrucomicrobiota
ERR1035438,p__Bacteroidota
ERR1035438,p__Pseudomonadota
ERR1035441,p__Bacteroidota
ERR1035441,p__Verrucomicrobiota
ERR1035441,p__Pseudomonadota
ERR1035441,p__Bacteroidota
ERR1035441,p__Acidobacteriota
ERR1039457,p__Pseudomonadota
ERR1039457,p__Bacteroidota
