Bin,p
SRR14017368,p__Bacteroidota
SRR14017380,p__Bacteroidota
SRR14017388,p__Bacteroidota
SRR14017394,p__Bacteroidota
SRR14017414,p__Bacteroidota
SRR14017415,p__Bacteroidota
SRR14017444,p__Bacteroidota
SRR14017450,p__Bacteroidota
SRR14017464,p__Bacteroidota
SRR14017467,p__Bacteroidota
SRR14017474,p__Bacteroidota
SRR14017477,p__Bacteroidota
SRR14017485,p__Bacteroidota
SRR14017488,p__Bacteroidota
SRR14017496,p__Bacteroidota
SRR14017501,p__Bacteroidota
SRR14017512,p__Bacteroidota
SRR14017516,p__Bacteroidota
SRR14017531,p__Bacteroidota
SRR14017546,p__Bacteroidota
SRR14017552,p__Bacteroidota
SRR14017560,p__Bacteroidota
SRR14017566,p__Bacteroidota
SRR14017577,p__Bacteroidota
SRR14017607,p__Bacteroidota
SRR14017611,p__Bacteroidota
SRR14017612,p__Bacteroidota
SRR14017621,p__Bacteroidota
SRR14355339,p__Bacteroidota
SRR14355351,p__Bacteroidota
SRR14355440,p__Bacteroidota
SRR15910073,p__Bacteroidota
SRR15910085,p__Bacteroidota
SRR16124233,p__Bacteroidota
SRR16124291,p__Bacteroidota
SRR16124311,p__Bacteroidota
SRR16124316,p__Bacteroidota
SRR16124331,p__Bacteroidota
SRR17648369,p__Bacteroidota
SRR17827852,p__Bacteroidota
SRR17827856,p__Bacteroidota
SRR17827868,p__Bacteroidota
SRR17827903,p__Bacteroidota
SRR17827906,p__Bacteroidota
SRR17827921,p__Bacteroidota
SRR17827928,p__Bacteroidota
SRR17827936,p__Bacteroidota
SRR18191129,p__Bacteroidota
SRR18191132,p__Bacteroidota
SRR18191135,p__Bacteroidota
SRR18191164,p__Bacteroidota
SRR1825367,p__Bacteroidota
SRR19580944,p__Bacteroidota
SRR19580957,p__Bacteroidota
SRR19580958,p__Bacteroidota
SRR20677893,p__Bacteroidota
SRR20677903,p__Bacteroidota
SRR20677914,p__Bacteroidota
SRR21615053,p__Bacteroidota
SRR21615077,p__Bacteroidota
SRR23364216,p__Bacteroidota
SRR23999416,p__Bacteroidota
SRR23999428,p__Bacteroidota
SRR4305045,p__Bacteroidota
SRR4305057,p__Bacteroidota
SRR4305071,p__Bacteroidota
SRR4305185,p__Bacteroidota
SRR4305222,p__Bacteroidota
SRR4305232,p__Bacteroidota
SRR4305245,p__Bacteroidota
SRR4305249,p__Bacteroidota
SRR4305251,p__Bacteroidota
SRR4305261,p__Bacteroidota
SRR4305263,p__Bacteroidota
SRR4305281,p__Bacteroidota
SRR4305309,p__Bacteroidota
SRR4305334,p__Bacteroidota
SRR4305339,p__Bacteroidota
SRR4305353,p__Bacteroidota
SRR4305365,p__Bacteroidota
SRR4305373,p__Bacteroidota
SRR4305381,p__Bacteroidota
SRR4305391,p__Bacteroidota
SRR4305411,p__Bacteroidota
SRR4305416,p__Bacteroidota
SRR4305425,p__Bacteroidota
SRR4305435,p__Bacteroidota
SRR4305461,p__Bacteroidota
SRR4305484,p__Bacteroidota
SRR4305490,p__Bacteroidota
SRR4305491,p__Bacteroidota
SRR4305506,p__Bacteroidota
SRR4305510,p__Bacteroidota
SRR4305518,p__Bacteroidota
SRR4305530,p__Bacteroidota
SRR4408032,p__Bacteroidota
SRR4408071,p__Bacteroidota
SRR4408091,p__Bacteroidota
SRR4408103,p__Bacteroidota
SRR4408125,p__Bacteroidota
SRR4408127,p__Bacteroidota
SRR4408130,p__Bacteroidota
SRR4408150,p__Bacteroidota
SRR4408172,p__Bacteroidota
SRR4408174,p__Bacteroidota
SRR4408179,p__Bacteroidota
SRR4408209,p__Bacteroidota
SRR4408218,p__Bacteroidota
SRR4408258,p__Bacteroidota
SRR4408260,p__Bacteroidota
SRR4408263,p__Bacteroidota
SRR4408276,p__Bacteroidota
SRR4408279,p__Bacteroidota
SRR4408288,p__Bacteroidota
SRR5273933,p__Bacteroidota
SRR5273934,p__Bacteroidota
SRR5274049,p__Bacteroidota
SRR5274060,p__Bacteroidota
SRR6277118,p__Bacteroidota
SRR6277129,p__Bacteroidota
SRR6277160,p__Bacteroidota
SRR7217504,p__Bacteroidota
SRR7217591,p__Bacteroidota
SRR7217654,p__Bacteroidota
SRR7217794,p__Bacteroidota
SRR7217915,p__Bacteroidota
SRR7280802,p__Bacteroidota
SRR7280904,p__Bacteroidota
SRR7280913,p__Bacteroidota
SRR7351747,p__Bacteroidota
SRR7351818,p__Bacteroidota
SRR8692178,p__Bacteroidota
SRR8692241,p__Bacteroidota
SRR8942393,p__Bacteroidota
SRR9865471,p__Bacteroidota
SRR9865471,p__Bacteroidota
SRR9865642,p__Bacteroidota
SRR9865642,p__Bacteroidota
SRR9865741,p__Bacteroidota
SRR9865741,p__Bacteroidota
SRR9865743,p__Bacteroidota
SRR9865743,p__Bacteroidota
SRR9865744,p__Bacteroidota
SRR9865744,p__Bacteroidota
SRR9865808,p__Bacteroidota
SRR9865808,p__Bacteroidota
CRR057330,p__Bacteroidota
SRR14017420,p__Bacteroidota
SRR14017441,p__Bacteroidota
CRR476068,p__Bacteroidota
CRR476087,p__Bacteroidota
ERR1995222,p__Bacteroidota
ERR3405851,p__Bacteroidota
SRR13077654,p__Bacteroidota
SRR13077680,p__Bacteroidota
SRR14000817,p__Bacteroidota
SRR14000902,p__Bacteroidota
SRR14017416,p__Bacteroidota
SRR14017435,p__Bacteroidota
SRR14017484,p__Bacteroidota
SRR14017489,p__Bacteroidota
SRR14017582,p__Bacteroidota
SRR14693207,p__Bacteroidota
SRR14693225,p__Bacteroidota
SRR15910048,p__Bacteroidota
SRR15910060,p__Bacteroidota
SRR15910067,p__Bacteroidota
SRR16124326,p__Bacteroidota
SRR16124328,p__Bacteroidota
SRR17827822,p__Bacteroidota
SRR17827834,p__Bacteroidota
SRR17827856,p__Bacteroidota
SRR17827857,p__Bacteroidota
SRR17827921,p__Bacteroidota
SRR17827938,p__Bacteroidota
SRR17827942,p__Bacteroidota
SRR17827944,p__Bacteroidota
SRR18191181,p__Bacteroidota
SRR19580907,p__Bacteroidota
SRR19580939,p__Bacteroidota
SRR20677855,p__Bacteroidota
SRR8692190,p__Bacteroidota
SRR14017304,p__Bacteroidota
CRR057328,p__Bacteroidota
CRR476060,p__Bacteroidota
ERR1995217,p__Bacteroidota
ERR525699,p__Bacteroidota
SRR4305041,p__Bacteroidota
ERR4283317,p__Bacteroidota
SRR14017405,p__Bacteroidota
SRR17827869,p__Bacteroidota
SRR6795027,p__Bacteroidota
SRR20677860,p__Bacteroidota
ERR525759,p__Bacteroidota
SRR13077664,p__Bacteroidota
SRR14001044,p__Bacteroidota
SRR8692215,p__Bacteroidota
ERR3405472,p__Bacteroidota
ERR3405473,p__Bacteroidota
ERR3405474,p__Bacteroidota
SRR14000966,p__Bacteroidota
SRR14017423,p__Bacteroidota
SRR14017481,p__Bacteroidota
SRR14017606,p__Bacteroidota
SRR17648418,p__Bacteroidota
SRR4305235,p__Bacteroidota
SRR4305470,p__Bacteroidota
SRR4408213,p__Bacteroidota
SRR8692183,p__Bacteroidota
SRR13077665,p__Bacteroidota
CRR029090,p__Bacteroidota
CRR057286,p__Bacteroidota
CRR057287,p__Bacteroidota
CRR057326,p__Bacteroidota
CRR057334,p__Bacteroidota
CRR057346,p__Bacteroidota
CRR057347,p__Bacteroidota
CRR476072,p__Bacteroidota
CRR476085,p__Bacteroidota
CRR476090,p__Bacteroidota
CRR476099,p__Bacteroidota
CRR476100,p__Bacteroidota
CRR476101,p__Bacteroidota
CRR476107,p__Bacteroidota
CRR476109,p__Bacteroidota
ERR1995213,p__Bacteroidota
ERR1995221,p__Bacteroidota
ERR1995229,p__Bacteroidota
ERR1995230,p__Bacteroidota
ERR1995234,p__Bacteroidota
ERR3404849,p__Bacteroidota
ERR3405000,p__Bacteroidota
ERR3405175,p__Bacteroidota
ERR3405191,p__Bacteroidota
ERR3405199,p__Bacteroidota
ERR3405215,p__Bacteroidota
ERR3405218,p__Bacteroidota
ERR3405401,p__Bacteroidota
ERR3405597,p__Bacteroidota
ERR3405784,p__Bacteroidota
ERR3405887,p__Bacteroidota
ERR3405996,p__Bacteroidota
ERR3406224,p__Bacteroidota
ERR4283172,p__Bacteroidota
ERR4283218,p__Bacteroidota
ERR4283233,p__Bacteroidota
ERR4283306,p__Bacteroidota
ERR4283316,p__Bacteroidota
ERR4283345,p__Bacteroidota
ERR525720,p__Bacteroidota
ERR525785,p__Bacteroidota
ERR525786,p__Bacteroidota
ERR525786,p__Bacteroidota
ERR525787,p__Bacteroidota
ERR525820,p__Bacteroidota
ERR525821,p__Bacteroidota
ERR525821,p__Bacteroidota
ERR525830,p__Bacteroidota
ERR525830,p__Bacteroidota
ERR525850,p__Bacteroidota
ERR525870,p__Bacteroidota
ERR525870,p__Bacteroidota
ERR525879,p__Bacteroidota
ERR525901,p__Bacteroidota
ERR525932,p__Bacteroidota
ERR525933,p__Bacteroidota
ERR525943,p__Bacteroidota
ERR525944,p__Bacteroidota
ERR526014,p__Bacteroidota
ERR526014,p__Bacteroidota
SRR12328902,p__Bacteroidota
SRR12557731,p__Bacteroidota
SRR13077690,p__Bacteroidota
SRR13077696,p__Bacteroidota
SRR13077707,p__Bacteroidota
SRR13077767,p__Bacteroidota
SRR13077769,p__Bacteroidota
SRR13077792,p__Bacteroidota
SRR13077864,p__Bacteroidota
SRR13077902,p__Bacteroidota
SRR13077920,p__Bacteroidota
SRR14000790,p__Bacteroidota
SRR14000816,p__Bacteroidota
SRR14000817,p__Bacteroidota
SRR14000958,p__Bacteroidota
SRR14001025,p__Bacteroidota
SRR14001085,p__Bacteroidota
SRR14001098,p__Bacteroidota
SRR14017351,p__Bacteroidota
SRR14017363,p__Bacteroidota
SRR14017380,p__Bacteroidota
SRR14017412,p__Bacteroidota
SRR14017451,p__Bacteroidota
SRR14017498,p__Bacteroidota
SRR14017524,p__Bacteroidota
SRR14355394,p__Bacteroidota
SRR14355433,p__Bacteroidota
SRR14693207,p__Bacteroidota
SRR14693218,p__Bacteroidota
SRR14693226,p__Bacteroidota
SRR15910056,p__Bacteroidota
SRR15910057,p__Bacteroidota
SRR15910073,p__Bacteroidota
SRR15910076,p__Bacteroidota
SRR15910077,p__Bacteroidota
SRR15910079,p__Bacteroidota
SRR15910083,p__Bacteroidota
SRR15910084,p__Bacteroidota
SRR15910087,p__Bacteroidota
SRR16124187,p__Bacteroidota
SRR16124190,p__Bacteroidota
SRR16124193,p__Bacteroidota
SRR16124202,p__Bacteroidota
SRR16124271,p__Bacteroidota
SRR16124272,p__Bacteroidota
SRR16124286,p__Bacteroidota
SRR16124300,p__Bacteroidota
SRR16124304,p__Bacteroidota
SRR16124321,p__Bacteroidota
SRR16124328,p__Bacteroidota
SRR16124336,p__Bacteroidota
SRR16124337,p__Bacteroidota
SRR17648387,p__Bacteroidota
SRR17648389,p__Bacteroidota
SRR17648397,p__Bacteroidota
SRR17648415,p__Bacteroidota
SRR17648427,p__Bacteroidota
SRR17827812,p__Bacteroidota
SRR17827814,p__Bacteroidota
SRR17827817,p__Bacteroidota
SRR17827824,p__Bacteroidota
SRR17827826,p__Bacteroidota
SRR17827827,p__Bacteroidota
SRR17827829,p__Bacteroidota
SRR17827830,p__Bacteroidota
SRR17827832,p__Bacteroidota
SRR17827834,p__Bacteroidota
SRR17827840,p__Bacteroidota
SRR17827847,p__Bacteroidota
SRR17827850,p__Bacteroidota
SRR17827851,p__Bacteroidota
SRR17827854,p__Bacteroidota
SRR17827858,p__Bacteroidota
SRR17827859,p__Bacteroidota
SRR17827865,p__Bacteroidota
SRR17827871,p__Bacteroidota
SRR17827884,p__Bacteroidota
SRR17827888,p__Bacteroidota
SRR17827889,p__Bacteroidota
SRR17827890,p__Bacteroidota
SRR17827897,p__Bacteroidota
SRR17827900,p__Bacteroidota
SRR17827902,p__Bacteroidota
SRR17827903,p__Bacteroidota
SRR17827906,p__Bacteroidota
SRR17827912,p__Bacteroidota
SRR17827914,p__Bacteroidota
SRR17827915,p__Bacteroidota
SRR17827918,p__Bacteroidota
SRR17827919,p__Bacteroidota
SRR17827922,p__Bacteroidota
SRR17827925,p__Bacteroidota
SRR17827929,p__Bacteroidota
SRR17827930,p__Bacteroidota
SRR17827934,p__Bacteroidota
SRR17827938,p__Bacteroidota
SRR17827944,p__Bacteroidota
SRR1793408,p__Bacteroidota
SRR1793416,p__Bacteroidota
SRR18191117,p__Bacteroidota
SRR19039981,p__Bacteroidota
SRR19040003,p__Bacteroidota
SRR19580959,p__Bacteroidota
SRR20677854,p__Bacteroidota
SRR20677881,p__Bacteroidota
SRR20677888,p__Bacteroidota
SRR20677889,p__Bacteroidota
SRR20677892,p__Bacteroidota
SRR20677900,p__Bacteroidota
SRR20677907,p__Bacteroidota
SRR21615069,p__Bacteroidota
SRR23364182,p__Bacteroidota
SRR23364215,p__Bacteroidota
SRR23364218,p__Bacteroidota
SRR23364225,p__Bacteroidota
SRR23364226,p__Bacteroidota
SRR23999430,p__Bacteroidota
SRR4305100,p__Bacteroidota
SRR4305257,p__Bacteroidota
SRR4305430,p__Bacteroidota
SRR4305437,p__Bacteroidota
SRR4305449,p__Bacteroidota
SRR4305455,p__Bacteroidota
SRR4305473,p__Bacteroidota
SRR4408098,p__Bacteroidota
SRR4408105,p__Bacteroidota
SRR4408140,p__Bacteroidota
SRR4408220,p__Bacteroidota
SRR4408268,p__Bacteroidota
SRR5963162,p__Bacteroidota
SRR5963166,p__Bacteroidota
SRR5963167,p__Bacteroidota
SRR5963386,p__Bacteroidota
SRR6915163,p__Bacteroidota
SRR6915180,p__Bacteroidota
SRR7280916,p__Bacteroidota
SRR7280974,p__Bacteroidota
SRR8692219,p__Bacteroidota
SRR8942370,p__Bacteroidota
SRR8942416,p__Bacteroidota
SRR8942429,p__Bacteroidota
SRR9865629,p__Bacteroidota
SRR9865629,p__Bacteroidota
SRR9865630,p__Bacteroidota
CRR057325,p__Bacteroidota
CRR057333,p__Bacteroidota
CRR476101,p__Bacteroidota
CRR476104,p__Bacteroidota
ERR1995216,p__Bacteroidota
ERR1995226,p__Bacteroidota
ERR1995227,p__Bacteroidota
ERR1995227,p__Bacteroidota
ERR1995229,p__Bacteroidota
ERR1995234,p__Bacteroidota
ERR1995245,p__Bacteroidota
ERR1995248,p__Bacteroidota
ERR1995253,p__Bacteroidota
ERR3405024,p__Bacteroidota
ERR3405027,p__Bacteroidota
ERR3405073,p__Bacteroidota
ERR3405101,p__Bacteroidota
ERR3405402,p__Bacteroidota
ERR3405404,p__Bacteroidota
ERR3405405,p__Bacteroidota
ERR3405509,p__Bacteroidota
ERR3405511,p__Bacteroidota
ERR3405605,p__Bacteroidota
ERR3405638,p__Bacteroidota
ERR3405642,p__Bacteroidota
ERR3405656,p__Bacteroidota
ERR3405705,p__Bacteroidota
ERR3405746,p__Bacteroidota
ERR3405765,p__Bacteroidota
ERR3405784,p__Bacteroidota
ERR3405801,p__Bacteroidota
ERR3405899,p__Bacteroidota
ERR3405984,p__Bacteroidota
ERR3406021,p__Bacteroidota
ERR3406092,p__Bacteroidota
ERR3406096,p__Bacteroidota
ERR3406105,p__Bacteroidota
ERR3406143,p__Bacteroidota
ERR3406258,p__Bacteroidota
ERR3406267,p__Bacteroidota
ERR3406274,p__Bacteroidota
ERR4283141,p__Bacteroidota
ERR4283195,p__Bacteroidota
ERR4283197,p__Bacteroidota
ERR4283208,p__Bacteroidota
ERR4283409,p__Bacteroidota
ERR525709,p__Bacteroidota
ERR525709,p__Bacteroidota
ERR525710,p__Bacteroidota
ERR525710,p__Bacteroidota
ERR525729,p__Bacteroidota
ERR525785,p__Bacteroidota
ERR525795,p__Bacteroidota
ERR525801,p__Bacteroidota
ERR525801,p__Bacteroidota
ERR525802,p__Bacteroidota
ERR525803,p__Bacteroidota
ERR525803,p__Bacteroidota
ERR525829,p__Bacteroidota
ERR525829,p__Bacteroidota
ERR525848,p__Bacteroidota
ERR525848,p__Bacteroidota
ERR525956,p__Bacteroidota
ERR525973,p__Bacteroidota
ERR525973,p__Bacteroidota
ERR525983,p__Bacteroidota
ERR526012,p__Bacteroidota
ERR526012,p__Bacteroidota
ERR526016,p__Bacteroidota
ERR526016,p__Bacteroidota
ERR526020,p__Bacteroidota
ERR526020,p__Bacteroidota
ERR526031,p__Bacteroidota
ERR526064,p__Bacteroidota
ERR5729932,p__Bacteroidota
ERR5730018,p__Bacteroidota
ERR5730021,p__Bacteroidota
ERR5730022,p__Bacteroidota
ERR5769964,p__Bacteroidota
SRR13077665,p__Bacteroidota
SRR13077769,p__Bacteroidota
SRR14000780,p__Bacteroidota
SRR14000792,p__Bacteroidota
SRR14000799,p__Bacteroidota
SRR14000804,p__Bacteroidota
SRR14000811,p__Bacteroidota
SRR14000819,p__Bacteroidota
SRR14000822,p__Bacteroidota
SRR14000823,p__Bacteroidota
SRR14000825,p__Bacteroidota
SRR14000830,p__Bacteroidota
SRR14000842,p__Bacteroidota
SRR14000843,p__Bacteroidota
SRR14000856,p__Bacteroidota
SRR14000871,p__Bacteroidota
SRR14000877,p__Bacteroidota
SRR14000902,p__Bacteroidota
SRR14000915,p__Bacteroidota
SRR14000920,p__Bacteroidota
SRR14000948,p__Bacteroidota
SRR14000952,p__Bacteroidota
SRR14000981,p__Bacteroidota
SRR14000989,p__Bacteroidota
SRR14000993,p__Bacteroidota
SRR14001004,p__Bacteroidota
SRR14001005,p__Bacteroidota
SRR14001029,p__Bacteroidota
SRR14001050,p__Bacteroidota
SRR14001054,p__Bacteroidota
SRR14001055,p__Bacteroidota
SRR14001059,p__Bacteroidota
SRR14001060,p__Bacteroidota
SRR14001061,p__Bacteroidota
SRR14001062,p__Bacteroidota
SRR14001082,p__Bacteroidota
SRR14001092,p__Bacteroidota
SRR14017306,p__Bacteroidota
SRR14017308,p__Bacteroidota
SRR14017309,p__Bacteroidota
SRR14017326,p__Bacteroidota
SRR14017337,p__Bacteroidota
SRR14017344,p__Bacteroidota
SRR14017352,p__Bacteroidota
SRR14017363,p__Bacteroidota
SRR14017373,p__Bacteroidota
SRR14017381,p__Bacteroidota
SRR14017386,p__Bacteroidota
SRR14017405,p__Bacteroidota
SRR14017417,p__Bacteroidota
SRR14017430,p__Bacteroidota
SRR14017435,p__Bacteroidota
SRR14017438,p__Bacteroidota
SRR14017451,p__Bacteroidota
SRR14017468,p__Bacteroidota
SRR14017483,p__Bacteroidota
SRR14017487,p__Bacteroidota
SRR14017512,p__Bacteroidota
SRR14017521,p__Bacteroidota
SRR14017532,p__Bacteroidota
SRR14017553,p__Bacteroidota
SRR14017556,p__Bacteroidota
SRR14017559,p__Bacteroidota
SRR14017562,p__Bacteroidota
SRR14017596,p__Bacteroidota
SRR14017599,p__Bacteroidota
SRR14017607,p__Bacteroidota
SRR14017611,p__Bacteroidota
SRR14017620,p__Bacteroidota
SRR14355339,p__Bacteroidota
SRR14355346,p__Bacteroidota
SRR14355363,p__Bacteroidota
SRR14355368,p__Bacteroidota
SRR14355397,p__Bacteroidota
SRR14355428,p__Bacteroidota
SRR14693207,p__Bacteroidota
SRR14693230,p__Bacteroidota
SRR15910058,p__Bacteroidota
SRR15910067,p__Bacteroidota
SRR15910073,p__Bacteroidota
SRR16124179,p__Bacteroidota
SRR16124219,p__Bacteroidota
SRR16124230,p__Bacteroidota
SRR16124269,p__Bacteroidota
SRR16124272,p__Bacteroidota
SRR16124275,p__Bacteroidota
SRR16124291,p__Bacteroidota
SRR16124311,p__Bacteroidota
SRR16124313,p__Bacteroidota
SRR16124336,p__Bacteroidota
SRR16124356,p__Bacteroidota
SRR17827831,p__Bacteroidota
SRR17827856,p__Bacteroidota
SRR17827857,p__Bacteroidota
SRR17827898,p__Bacteroidota
SRR17827902,p__Bacteroidota
SRR17827921,p__Bacteroidota
SRR18191129,p__Bacteroidota
SRR1825367,p__Bacteroidota
SRR19580953,p__Bacteroidota
SRR19580973,p__Bacteroidota
SRR2155554,p__Bacteroidota
SRR21615055,p__Bacteroidota
SRR21615057,p__Bacteroidota
SRR21615058,p__Bacteroidota
SRR21615067,p__Bacteroidota
SRR23364170,p__Bacteroidota
SRR23364222,p__Bacteroidota
SRR3132191,p__Bacteroidota
SRR3132443,p__Bacteroidota
SRR4305071,p__Bacteroidota
SRR4305136,p__Bacteroidota
SRR4305298,p__Bacteroidota
SRR4305455,p__Bacteroidota
SRR4305508,p__Bacteroidota
SRR4408027,p__Bacteroidota
SRR4408029,p__Bacteroidota
SRR4408060,p__Bacteroidota
SRR4408244,p__Bacteroidota
SRR4408258,p__Bacteroidota
SRR5405721,p__Bacteroidota
SRR5405722,p__Bacteroidota
SRR5405723,p__Bacteroidota
SRR5405724,p__Bacteroidota
SRR5405725,p__Bacteroidota
SRR5405726,p__Bacteroidota
SRR5405727,p__Bacteroidota
SRR5405728,p__Bacteroidota
SRR5405729,p__Bacteroidota
SRR5405731,p__Bacteroidota
SRR5405734,p__Bacteroidota
SRR5405737,p__Bacteroidota
SRR5723866,p__Bacteroidota
SRR6795027,p__Bacteroidota
SRR7217895,p__Bacteroidota
SRR7280858,p__Bacteroidota
SRR7280974,p__Bacteroidota
SRR7281055,p__Bacteroidota
SRR7351704,p__Bacteroidota
SRR7351759,p__Bacteroidota
SRR7411256,p__Bacteroidota
SRR7411396,p__Bacteroidota
SRR7716249,p__Bacteroidota
SRR8942351,p__Bacteroidota
SRR8942410,p__Bacteroidota
SRR9865622,p__Bacteroidota
SRR9865779,p__Bacteroidota
SRR9865779,p__Bacteroidota
CRR057269,p__Bacteroidota
CRR057271,p__Bacteroidota
CRR057272,p__Bacteroidota
CRR057273,p__Bacteroidota
CRR057274,p__Bacteroidota
CRR057279,p__Bacteroidota
CRR057280,p__Bacteroidota
CRR057283,p__Bacteroidota
CRR057287,p__Bacteroidota
CRR057289,p__Bacteroidota
CRR057293,p__Bacteroidota
CRR057294,p__Bacteroidota
CRR057295,p__Bacteroidota
CRR057296,p__Bacteroidota
CRR057298,p__Bacteroidota
CRR057299,p__Bacteroidota
CRR057303,p__Bacteroidota
CRR057304,p__Bacteroidota
CRR057305,p__Bacteroidota
CRR057306,p__Bacteroidota
CRR057307,p__Bacteroidota
CRR057308,p__Bacteroidota
CRR057311,p__Bacteroidota
CRR057316,p__Bacteroidota
CRR057319,p__Bacteroidota
CRR057325,p__Bacteroidota
CRR057327,p__Bacteroidota
CRR057329,p__Bacteroidota
CRR057330,p__Bacteroidota
CRR057331,p__Bacteroidota
CRR057334,p__Bacteroidota
CRR057335,p__Bacteroidota
CRR057336,p__Bacteroidota
CRR057337,p__Bacteroidota
CRR057339,p__Bacteroidota
CRR057343,p__Bacteroidota
CRR191919,p__Bacteroidota
CRR191926,p__Bacteroidota
CRR476072,p__Bacteroidota
CRR476079,p__Bacteroidota
CRR476082,p__Bacteroidota
CRR476087,p__Bacteroidota
CRR476088,p__Bacteroidota
CRR476092,p__Bacteroidota
CRR476100,p__Bacteroidota
CRR476101,p__Bacteroidota
CRR476105,p__Bacteroidota
CRR476108,p__Bacteroidota
ERR1995214,p__Bacteroidota
ERR1995216,p__Bacteroidota
ERR1995218,p__Bacteroidota
ERR1995229,p__Bacteroidota
ERR1995230,p__Bacteroidota
ERR1995230,p__Bacteroidota
ERR1995231,p__Bacteroidota
ERR1995233,p__Bacteroidota
ERR1995235,p__Bacteroidota
ERR1995235,p__Bacteroidota
ERR1995249,p__Bacteroidota
ERR1995251,p__Bacteroidota
ERR1995252,p__Bacteroidota
ERR1995256,p__Bacteroidota
ERR1995264,p__Bacteroidota
ERR3404643,p__Bacteroidota
ERR3404644,p__Bacteroidota
ERR3404645,p__Bacteroidota
ERR3404646,p__Bacteroidota
ERR3404676,p__Bacteroidota
ERR3404692,p__Bacteroidota
ERR3404709,p__Bacteroidota
ERR3404727,p__Bacteroidota
ERR3404734,p__Bacteroidota
ERR3404735,p__Bacteroidota
ERR3404831,p__Bacteroidota
ERR3404860,p__Bacteroidota
ERR3404861,p__Bacteroidota
ERR3404862,p__Bacteroidota
ERR3404916,p__Bacteroidota
ERR3404943,p__Bacteroidota
ERR3404967,p__Bacteroidota
ERR3404997,p__Bacteroidota
ERR3405027,p__Bacteroidota
ERR3405051,p__Bacteroidota
ERR3405089,p__Bacteroidota
ERR3405097,p__Bacteroidota
ERR3405180,p__Bacteroidota
ERR3405184,p__Bacteroidota
ERR3405198,p__Bacteroidota
ERR3405325,p__Bacteroidota
ERR3405326,p__Bacteroidota
ERR3405327,p__Bacteroidota
ERR3405356,p__Bacteroidota
ERR3405388,p__Bacteroidota
ERR3405413,p__Bacteroidota
ERR3405464,p__Bacteroidota
ERR3405509,p__Bacteroidota
ERR3405510,p__Bacteroidota
ERR3405512,p__Bacteroidota
ERR3405514,p__Bacteroidota
ERR3405544,p__Bacteroidota
ERR3405561,p__Bacteroidota
ERR3405563,p__Bacteroidota
ERR3405581,p__Bacteroidota
ERR3405615,p__Bacteroidota
ERR3405619,p__Bacteroidota
ERR3405622,p__Bacteroidota
ERR3405771,p__Bacteroidota
ERR3405791,p__Bacteroidota
ERR3405840,p__Bacteroidota
ERR3405842,p__Bacteroidota
ERR3405854,p__Bacteroidota
ERR3405871,p__Bacteroidota
ERR3405885,p__Bacteroidota
ERR3405890,p__Bacteroidota
ERR3405899,p__Bacteroidota
ERR3405900,p__Bacteroidota
ERR3405913,p__Bacteroidota
ERR3405916,p__Bacteroidota
ERR3405923,p__Bacteroidota
ERR3405924,p__Bacteroidota
ERR3405925,p__Bacteroidota
ERR3405927,p__Bacteroidota
ERR3405930,p__Bacteroidota
ERR3405937,p__Bacteroidota
ERR3405938,p__Bacteroidota
ERR3405940,p__Bacteroidota
ERR3405959,p__Bacteroidota
ERR3405962,p__Bacteroidota
ERR3405984,p__Bacteroidota
ERR3406000,p__Bacteroidota
ERR3406003,p__Bacteroidota
ERR3406004,p__Bacteroidota
ERR3406005,p__Bacteroidota
ERR3406006,p__Bacteroidota
ERR3406007,p__Bacteroidota
ERR3406008,p__Bacteroidota
ERR3406012,p__Bacteroidota
ERR3406015,p__Bacteroidota
ERR3406017,p__Bacteroidota
ERR3406022,p__Bacteroidota
ERR3406027,p__Bacteroidota
ERR3406028,p__Bacteroidota
ERR3406029,p__Bacteroidota
ERR3406054,p__Bacteroidota
ERR3406056,p__Bacteroidota
ERR3406068,p__Bacteroidota
ERR3406069,p__Bacteroidota
ERR3406085,p__Bacteroidota
ERR3406088,p__Bacteroidota
ERR3406091,p__Bacteroidota
ERR3406093,p__Bacteroidota
ERR3406095,p__Bacteroidota
ERR3406108,p__Bacteroidota
ERR3406110,p__Bacteroidota
ERR3406157,p__Bacteroidota
ERR3406189,p__Bacteroidota
ERR3406198,p__Bacteroidota
ERR3406208,p__Bacteroidota
ERR3406234,p__Bacteroidota
ERR3406237,p__Bacteroidota
ERR3406249,p__Bacteroidota
ERR3406270,p__Bacteroidota
ERR3406274,p__Bacteroidota
ERR3406275,p__Bacteroidota
ERR3406281,p__Bacteroidota
ERR3406289,p__Bacteroidota
ERR3406293,p__Bacteroidota
ERR3406296,p__Bacteroidota
ERR3406297,p__Bacteroidota
ERR4283118,p__Bacteroidota
ERR4283119,p__Bacteroidota
ERR4283120,p__Bacteroidota
ERR4283121,p__Bacteroidota
ERR4283125,p__Bacteroidota
ERR4283135,p__Bacteroidota
ERR4283136,p__Bacteroidota
ERR4283137,p__Bacteroidota
ERR4283140,p__Bacteroidota
ERR4283141,p__Bacteroidota
ERR4283142,p__Bacteroidota
ERR4283143,p__Bacteroidota
ERR4283145,p__Bacteroidota
ERR4283146,p__Bacteroidota
ERR4283149,p__Bacteroidota
ERR4283160,p__Bacteroidota
ERR4283161,p__Bacteroidota
ERR4283163,p__Bacteroidota
ERR4283168,p__Bacteroidota
ERR4283169,p__Bacteroidota
